Name,BulletMass_g,Diameter_mm,V0_mps,RefBarrel_mm,dV_per_25mm_mps,DragModel,BC,Construction,Notes
9x19_124_FMJ,8.04,9.02,355,102,7,G1,0.145,FMJ,"124 gr FMJ, ~1165 fps из 4in; типичные публичные данные"
9x19_115_FMJ,7.45,9.02,365,102,7,G1,0.140,FMJ,"115 gr FMJ ~1200 fps"
9x19_147_JHP,9.53,9.02,300,102,6,G1,0.212,JHP,"147 gr JHP subsonic ~985 fps"
5.56x45_M855,4.02,5.70,922,508,10,G7,0.151,FMJ,"62 gr, ~3025 fps из 20in; G7 0.151"
5.56x45_M193,3.56,5.70,990,508,11,G7,0.140,FMJ,"55 gr, ~3250 fps из 20in"
7.62x51_M80,9.53,7.82,838,559,7,G7,0.200,FMJ,"147 gr, ~2750 fps из 22in"
.308_168_SMK,10.89,7.82,808,610,6,G7,0.223,HPBT,"168 gr Sierra MatchKing, 2650 fps из 24in; эталон для сверки G7"
7.62x39_M43,7.97,7.92,718,415,6,G1,0.275,FMJ,"123 gr, ~2355 fps из 16.3in"
12.7x99_M33,42.9,12.98,882,1143,3,G7,0.520,FMJ,".50 BMG 661 gr ~2895 fps"
